Player_id,player_name,base_price,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match,value_score,consistency_score,batting_specialist,bowling_specialist,all_rounder,cat_AR,cat_BAT,cat_BOWL,cat_WK
126,Shashank Singh,1.0,7,0,False,1975.0,47.023809523809526,52.18189953223341,200.0,-20.0,1360.0,32.38095238095238,-25.0,-0.5952380952380952,180.0,4.285714285714286,773.0,18.404761904761905,68.0,1.0,0.023809523809523808,1.0,17.0,0.40476190476190477,39.0,50.64102564102564,46.03729603729604,0.8842070316670152,1,0,0,True,False,False,False
127,Naman Dhir,1.0,7,0,False,1151.0,50.04347826086956,44.53647969603587,141.0,-20.0,775.0,33.69565217391305,11.0,0.4782608695652174,150.0,6.521739130434782,392.0,17.043478260869566,62.0,1.0,0.043478260869565216,1.0,15.0,0.6521739130434783,21.0,54.80952380952381,49.82683982683982,1.0989755597033128,1,0,0,True,False,False,False
128,Anshul Kamboj,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
129,Liam Livingstone,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
130,Ramandeep Singh,1.0,7,0,False,1062.0,35.4,39.145704833309004,157.0,2.0,400.0,13.333333333333334,192.0,6.4,150.0,5.0,217.0,7.233333333333333,35.0,6.0,0.2,3.0,13.0,0.43333333333333335,28.0,37.92857142857143,34.48051948051948,0.8817879807313413,1,0,0,True,False,False,False
131,Corbin Bosch,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
132,Shahbaz Ahmed,1.0,7,0,False,1781.0,30.70689655172414,44.38982364046084,208.0,-26.0,599.0,10.327586206896552,282.0,4.862068965517241,220.0,3.793103448275862,545.0,9.39655172413793,59.0,22.0,0.3793103448275862,3.0,20.0,0.3448275862068966,52.0,34.25,31.136363636363633,0.6765150002555148,1,0,0,True,False,False,False
133,Jason Holder,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
134,Matthew Short,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
135,Donovan Ferreira,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
